Sample,Region,Age,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,L.O.I,Total,P,K,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Age (Ma),87Rb/86Sr,87Sr/86Sr,2s,(87Sr/86Sr)i,147Sm/144Nd,143Nd/144Nd,2s,TDM(Ga),εNd(t),,,mAl2O3,mCaO,mNa2O,mK2O,mFeO,TFeO,mMgO,Mg#,Na2O/K2O,0.111111111,0.056847545,0.884353741,Ce/Pb,Nb/Ta,nLa,nCe,nPr,nNd,nSm,nEu,nGd,nTb,nDy,nHo,nEr,nTm,nYb,nLu
GH04-2,West,Mid K,58.37,1.31,17.21,5.79,0.82,0.05,1.46,3.84,4.38,2.61,0.54,3.6,99.98,,,12.73,,,,,,,,,,,34.74,1223.59,12.32,332,11.77,,1323.62,55.95,111.61,13.33,50.02,7.94,2.01,5.51,0.63,2.99,0.53,1.34,0.18,1.05,0.15,8.51,0.82,15.64,5.34,1.07,114,,,,,,,,,,,,0.16872549,0.068571429,0.070645161,0.027765957,0.083747806,6.029842,0.0365,30.35398428,1.67816092,1.594095941,,,7.136189258,14.35365854,236.076 ,182.369 ,140.316 ,107.109 ,51.895 ,34.655 ,26.813 ,16.845 ,11.772 ,9.364 ,8.097 ,7.059 ,6.176 ,5.906 
SPM13TC19,West,Early K,57.4,0.92,18.83,2.87,2.69,0.1,2.06,4.68,4.81,3.26,0.45,1.53,99.61,,,8.6,,91.8,17.1,,10,2.73,16.6,87.1,22.4,,81.1,1245,17.1,183,11.2,,1141,32,71.1,9.2,36.3,6.11,1.74,4.98,0.73,3.8,0.66,1.95,0.3,1.9,0.32,4.95,0.7,12.9,5.24,1.05,123.4,,,,,,,,,,,,0.184607843,0.083571429,0.077580645,0.034680851,0.073228139,5.272426,0.0515,41.28980073,1.475460123,1.598290598,,,5.511627907,16,135.021 ,116.176 ,96.842 ,77.730 ,39.935 ,30.000 ,24.234 ,19.519 ,14.961 ,11.661 ,11.782 ,11.765 ,11.176 ,12.598 
SPM9-5-1,West,Early K,68.18,0.44,15.6,1.73,1.21,0.06,0.9,2.24,4.44,3.98,0.14,0.91,99.74,,,5.58,,52.5,17.2,,5.17,1.98,11.7,48.6,18.6,,117,548,14,222,10.9,,905,33.1,67.1,7.46,25.8,4.08,0.96,3.37,0.48,2.59,0.49,1.53,0.26,1.83,0.33,7.21,0.82,18.2,12.7,1.69,123.6,,,,,,,,,,,,0.152941176,0.04,0.071612903,0.042340426,0.03842575,2.766654,0.0225,36.93019782,1.115577889,1.619565217,,,3.686813187,13.29268293,139.662 ,109.641 ,78.526 ,55.246 ,26.667 ,16.552 ,16.399 ,12.834 ,10.197 ,8.657 ,9.245 ,10.196 ,10.765 ,12.992 
P2121-1,West,Early K,55.97,0.84,20.67,2.94,2.14,0.1,1.94,6.32,4.33,2.1,0.33,2.05,99.73,,,11.9,5039,102,7.5,,13,4.9,20,69.6,23.9,,51.5,1415,19.1,145.1,8.04,2.53,778,23.5,51.4,6.8,30.1,5.7,1.8,4.71,0.7,3.91,0.71,1.81,0.3,1.71,0.32,4.09,0.68,14.8,4.16,1.29,123,,,,,,,,,,,,0.202647059,0.112857143,0.06983871,0.022340426,0.066464056,4.785412,0.0485,42.18709906,2.061904762,1.63190184,,,3.472972973,11.82352941,99.156 ,83.987 ,71.579 ,64.454 ,37.255 ,31.034 ,22.920 ,18.717 ,15.394 ,12.544 ,10.937 ,11.765 ,10.059 ,12.598 
D6804B1,West,Late J,60.78,0.76,16.01,3.31,2.33,0.09,2.77,4.69,3.48,2.87,0.21,2.47,99.77,,,13.3,4944,132,41.3,,18.6,14.5,18.6,77.5,20.1,,40.1,749,12.5,140,8.06,2.27,870,21.5,40.2,5,19.8,3.6,1.14,3.11,0.44,2.41,0.48,1.37,0.2,1.34,0.21,4.04,0.51,15.4,4.51,1.47,,,,,,,,,,,,,0.156960784,0.08375,0.056129032,0.030531915,0.073726917,5.308338,0.06925,48.4343918,1.212543554,1.662601626,,,2.61038961,15.80392157,90.717 ,65.686 ,52.632 ,42.398 ,23.529 ,19.655 ,15.134 ,11.765 ,9.488 ,8.481 ,8.278 ,7.843 ,7.882 ,8.268 
BLS7-01,West,Late J,65.09,0.47,15.62,2.08,1.68,0.08,1.46,2.33,5.32,3.26,0.18,1.84,99.41,,,,,,,,,,,,,,77.5,602,14.98,183,8.67,,1176,30.81,57.26,6.69,22.25,4.29,1.02,3.47,0.49,2.75,0.55,1.57,0.24,1.62,0.26,4.91,0.66,15.5,7.48,2.11,133.5,,,,,,,,,,,,0.153137255,0.041607143,0.085806452,0.034680851,0.049327556,3.551584,0.0365,42.52713451,1.63190184,1.67816092,,,3.694193548,13.13636364,130.000 ,93.562 ,70.421 ,47.645 ,28.039 ,17.586 ,16.886 ,13.102 ,10.827 ,9.717 ,9.486 ,9.412 ,9.529 ,10.236 
BLS7-06,West,Late J,62.86,0.54,15.85,2.37,2.08,0.08,1.79,3.35,5.39,3.16,0.22,2.5,100.23,,,,,,,,,,,,,,71.4,690,15.81,184,8.1,,1065,27.98,54.07,6.49,22.23,4.5,1.1,3.6,0.52,2.88,0.58,1.63,0.24,1.66,0.26,4.86,0.59,15,6.55,1.9,133.5,,,,,,,,,,,,0.155392157,0.059821429,0.086935484,0.033617021,0.058507306,4.212526,0.04475,43.33833791,1.705696203,1.678362573,,,3.604666667,13.72881356,118.059 ,88.350 ,68.316 ,47.602 ,29.412 ,18.966 ,17.518 ,13.904 ,11.339 ,10.247 ,9.849 ,9.412 ,9.765 ,10.236 
BLS7-07,West,Late J,65.44,0.44,15.8,1.96,1.64,0.08,1.35,2.39,5.57,3.17,0.18,1.88,99.89,,,,,,,,,,,,,,74,592,15.02,187,8.53,,1157,28.99,55.63,6.54,21.81,4.24,1.01,3.4,0.49,2.72,0.55,1.57,0.25,1.64,0.26,5.02,0.66,18.3,7.7,2.13,133.5,,,,,,,,,,,,0.154901961,0.042678571,0.08983871,0.033723404,0.047272333,3.403608,0.03375,41.65518149,1.757097792,1.698113208,,,3.03989071,12.92424242,122.321 ,90.899 ,68.842 ,46.702 ,27.712 ,17.414 ,16.545 ,13.102 ,10.709 ,9.717 ,9.486 ,9.804 ,9.647 ,10.236 
13GW256,West,Mid J,73.18,0.23,14.52,0.66,0.5,0.02,0.34,0.93,4.73,4.07,0.07,0.84,99.59,,,,,18.8,16.8,,1.7,4.74,,,15.5,,99.7,672,6.07,72.6,4.74,2.2,796,22.4,41.2,4.23,14.5,2.3,0.5,1.6,0.23,1.14,0.22,0.63,0.11,0.68,0.11,2.68,0.65,48.1,8.4,1.96,137,,,,,,,,,,,,0.142352941,0.016607143,0.076290323,0.043297872,0.015192611,1.093868,0.0085,35.87616392,1.162162162,1.705696203,,,0.856548857,7.292307692,94.515 ,67.320 ,44.526 ,31.049 ,15.033 ,8.621 ,7.786 ,6.150 ,4.488 ,3.887 ,3.807 ,4.314 ,4.000 ,4.331 
13GW257,West,Mid J,72.24,0.16,15.43,1.02,0.52,0.03,0.45,0.9,4.86,3.96,0.05,0.88,99.98,,,,,15.1,10.6,,1.77,5.43,,,17,,88.6,645,5.36,81,3.93,2.22,829,12.8,22.8,2.74,9.89,1.65,0.34,1.2,0.18,0.86,0.16,0.54,0.11,0.72,0.12,3.52,0.47,49,7.85,2.21,137,,,,,,,,,,,,0.15127451,0.016071429,0.078387097,0.04212766,0.019969389,1.437796,0.01125,36.03529858,1.227272727,1.729166667,,,0.465306122,8.361702128,54.008 ,37.255 ,28.842 ,21.178 ,10.784 ,5.862 ,5.839 ,4.813 ,3.386 ,2.827 ,3.263 ,4.314 ,4.235 ,4.724 
ER3-3,West,Early K,55.33,1.14,16.46,7.6,,0.11,3.78,5.66,3.13,2.63,0.37,3.58,99.56,,,14.7,,158,19.9,,24.8,41.1,37.8,98.6,21.8,,54.3,953,18.3,228,10.1,7.32,868,36,74.3,9.03,35,6.62,1.71,5.1,0.66,3.54,0.63,1.61,0.23,1.36,0.2,5.45,0.55,12.8,5.48,1.16,125,,,,,,,,,,,,0.161372549,0.101071429,0.050483871,0.027978723,0.094978889,6.83848,0.0945,49.87363001,1.190114068,1.737051793,,,5.8046875,18.36363636,151.899 ,121.405 ,95.053 ,74.946 ,43.268 ,29.483 ,24.818 ,17.647 ,13.937 ,11.131 ,9.728 ,9.020 ,8.000 ,7.874 
ER4-1,West,Early K,58.18,1.05,16.48,6.11,,0.08,3.08,4.78,3.64,2.63,0.37,3.39,99.58,,,12.5,,143,53.8,,19.8,35.4,11.2,94.8,23.4,,43.2,1119,13.9,246,7.9,8.69,1248,38.8,79.8,9.57,36.4,6.38,1.74,4.55,0.55,2.62,0.46,1.16,0.17,1.03,0.14,5.58,0.42,13.1,5.25,1.11,125,,,,,,,,,,,,0.161568627,0.085357143,0.058709677,0.027978723,0.076358028,5.497778,0.077,50.20930506,1.384030418,1.757097792,,,6.091603053,18.80952381,163.713 ,130.392 ,100.737 ,77.944 ,41.699 ,30.000 ,22.141 ,14.706 ,10.315 ,8.127 ,7.009 ,6.667 ,6.059 ,5.512 
DG041,West,Late J,69.1,0.35,15.59,2.31,1.08,0.03,0.76,0.81,4.45,4.39,0.17,1.22,100.26,,,,,27.8,6.7,,8.8,5.09,6.67,103.86,,,125.17,283.37,10.71,161.02,10.77,,1105.01,43.66,80.39,8.47,29.24,4.52,1.06,3.52,0.44,2.2,0.4,1.12,0.17,1.09,0.17,4.23,0.79,30.2,5.24,,131,,,,,,,,,,,,0.152843137,0.014464286,0.071774194,0.046702128,0.043868583,3.158538,0.019,30.22177214,1.013667426,1.771929825,,,2.66192053,13.63291139,184.219 ,131.356 ,89.158 ,62.612 ,29.542 ,18.276 ,17.129 ,11.765 ,8.661 ,7.067 ,6.767 ,6.667 ,6.412 ,6.693 
1663,West,Late J,61.32,0.68,15.62,2.42,3.72,0.1,3.17,4.37,4.32,2.71,0.24,1.08,99.74,,,,,97.24,131.53,,16.43,54.13,5.38,58.62,,,55.62,804.56,12.45,139.99,6.05,,885.34,39.62,76.46,9.06,33.02,5.78,1.29,3.8,0.5,2.59,0.48,1.22,0.2,1.35,0.18,4.91,0.54,28.54,,,131,,,,,,,,,,,,0.153137255,0.078035714,0.069677419,0.028829787,0.081909944,5.897516,0.07925,49.17475014,1.594095941,1.776744186,,,2.679046952,11.2037037,167.173 ,124.935 ,95.368 ,70.707 ,37.778 ,22.241 ,18.491 ,13.369 ,10.197 ,8.481 ,7.372 ,7.843 ,7.941 ,7.087 
1107-978,West,Late J,68.54,0.36,15.08,2.3,1.1,0.07,0.67,1.65,5.1,3.73,0.12,2.39,97.62,,,3.09,,32.6,2.55,,3.76,2.35,12.9,74.1,15.6,,109,717,13,179,10.9,2.49,1028,33.2,62.8,7.55,27,4.2,1.59,3.45,0.44,2.49,0.45,1.45,0.19,1.24,0.22,5.91,1.05,28.2,10.8,2.98,128,,,,,,,,,,,,0.147843137,0.029464286,0.082258065,0.039680851,0.044021389,3.16954,0.01675,27.56231231,1.367292225,1.77992278,,,2.226950355,10.38095238,140.084 ,102.614 ,79.474 ,57.816 ,27.451 ,27.414 ,16.788 ,11.765 ,9.803 ,7.951 ,8.761 ,7.451 ,7.294 ,8.661 
903-1273.3,West,Late J,66.38,0.49,15.74,3.13,1.5,0.08,1.03,2.16,5.02,3.61,0.19,2.17,97.83,,,2.79,,51.4,3.25,,6.21,3.84,13.5,89.5,16.5,,62,475,9.85,228,9.92,2.31,1279,24.8,53,6.58,22.8,4.01,1.93,3.61,0.48,2.24,0.43,1.27,0.19,1.29,0.21,6.38,0.79,22.1,6.8,3,128,0.5475,0.706466,,0.705431,0.1,0.512581,,0.884,0.53,,,0.154313725,0.038571429,0.080967742,0.038404255,0.059949639,4.316374,0.02575,30.04680105,1.390581717,1.81875,,,2.398190045,12.55696203,104.641 ,86.601 ,69.263 ,48.822 ,26.209 ,33.276 ,17.567 ,12.834 ,8.819 ,7.597 ,7.674 ,7.451 ,7.588 ,8.268 
A2-1,West,Mid J,71.3,0.37,14.72,0.27,1.68,0.01,0.72,2.08,4.31,3.96,0.12,0.62,100.16,,,,,,,,,,,,,,90.6,521,11.1,124,7.12,,720,23.6,45.1,5.59,19.9,3.75,0.87,2.89,0.41,2.1,0.41,1.1,0.16,1.08,0.17,3.92,0.69,,7.31,3.32,138.7,,,,,,,,,,,,0.144313725,0.037142857,0.069516129,0.04212766,0.026707583,1.922946,0.018,40.26162601,1.088383838,1.830578512,,,#DIV/0!,10.31884058,99.578 ,73.693 ,58.842 ,42.612 ,24.510 ,15.000 ,14.063 ,10.963 ,8.268 ,7.244 ,6.647 ,6.275 ,6.353 ,6.693 
A2-3,West,Mid J,70.95,0.38,14.88,0.51,1.81,0.03,0.83,2.01,4.38,3.85,0.12,0.58,100.33,,,,,,,,,,,,,,85.2,511,10.6,135,6.63,,780,20.2,38.7,4.85,17.4,3.4,0.85,2.65,0.37,1.93,0.38,1.04,0.16,1.04,0.17,4.22,0.65,,7.28,3.44,138.7,,,,,,,,,,,,0.145882353,0.035892857,0.070645161,0.040957447,0.031512472,2.268898,0.02075,39.70344134,1.137662338,1.830769231,,,#DIV/0!,10.2,85.232 ,63.235 ,51.053 ,37.259 ,22.222 ,14.655 ,12.895 ,9.893 ,7.598 ,6.714 ,6.284 ,6.275 ,6.118 ,6.693 
A2-5,West,Mid J,71.72,0.39,14.7,0.22,1.41,0.02,0.78,2.24,4.25,3.92,0.13,0.5,100.28,,,,,,,,,,,,,,90.2,557,9.06,156,5.66,,678,22.6,43.6,5.5,19.3,3.66,0.93,2.74,0.36,1.82,0.34,0.89,0.13,0.87,0.14,4.41,0.46,,5.91,2.37,138.7,,,,,,,,,,,,0.144117647,0.04,0.068548387,0.041702128,0.022332722,1.607956,0.0195,46.61422677,1.084183673,1.844036697,,,#DIV/0!,12.30434783,95.359 ,71.242 ,57.895 ,41.328 ,23.922 ,16.034 ,13.333 ,9.626 ,7.165 ,6.007 ,5.378 ,5.098 ,5.118 ,5.512 
A2-6,West,Mid J,70.51,0.41,15.21,0.47,1.7,0.02,0.82,2.39,4.54,3.52,0.14,0.54,100.27,,,,,,,,,,,,,,80.6,617,9.02,165,5.68,,739,20.6,40.9,5.22,18.4,3.56,0.96,2.71,0.36,1.82,0.35,0.93,0.13,0.89,0.14,4.75,0.47,,5.75,2.4,138.7,,,,,,,,,,,,0.149117647,0.042678571,0.073225806,0.037446809,0.029484806,2.122906,0.0205,41.01246323,1.289772727,1.847826087,,,#DIV/0!,12.08510638,86.920 ,66.830 ,54.947 ,39.400 ,23.268 ,16.552 ,13.187 ,9.626 ,7.165 ,6.184 ,5.619 ,5.098 ,5.235 ,5.512 
A2-8,West,Mid J,70.53,0.4,14.91,0.12,1.99,0.02,0.82,2.3,4.31,3.96,0.13,0.58,100.07,,,,,,,,,,,,,,97,598,8.68,156,5.77,,708,19.4,37.5,4.74,17.2,3.35,0.91,2.51,0.35,1.72,0.32,0.84,0.12,0.82,0.13,4.5,0.46,,5.5,2.28,138.7,,,,,,,,,,,,0.146176471,0.041071429,0.069516129,0.04212766,0.029138556,2.097976,0.0205,41.29854258,1.088383838,1.876,,,#DIV/0!,12.54347826,81.857 ,61.275 ,49.895 ,36.831 ,21.895 ,15.690 ,12.214 ,9.358 ,6.772 ,5.654 ,5.076 ,4.706 ,4.824 ,5.118 
A5-1,West,Mid J,70.73,0.39,14.95,0.1,2.08,0.03,0.78,2.12,4.87,3.34,0.13,0.76,100.28,,,,,,,,,,,,,,87,594,8.72,126,5.88,,636,23.2,43.1,5.24,18.2,3.38,0.86,2.5,0.34,1.72,0.32,0.83,0.13,0.83,0.13,3.91,0.48,,7.63,2.81,138.7,,,,,,,,,,,,0.146568627,0.037857143,0.078548387,0.035531915,0.030138611,2.16998,0.0195,39.28393556,1.458083832,1.881226054,,,#DIV/0!,12.25,97.890 ,70.425 ,55.158 ,38.972 ,22.092 ,14.828 ,12.165 ,9.091 ,6.772 ,5.654 ,5.015 ,5.098 ,4.882 ,5.118 
A5-2,West,Mid J,71.23,0.37,14.58,0.48,1.51,0.03,0.68,2.11,4.4,3.77,0.12,0.6,99.89,,,,,,,,,,,,,,98.3,525,8.46,132,5.86,,642,23.5,42.1,5.14,18,3.28,0.83,2.47,0.33,1.7,0.31,0.83,0.12,0.81,0.13,4.16,0.49,,7.53,2.95,138.7,,,,,,,,,,,,0.142941176,0.037678571,0.070967742,0.040106383,0.026970889,1.941904,0.017,38.661943,1.167108753,1.899543379,,,#DIV/0!,11.95918367,99.156 ,68.791 ,54.105 ,38.544 ,21.438 ,14.310 ,12.019 ,8.824 ,6.693 ,5.477 ,5.015 ,4.706 ,4.765 ,5.118 
A5-3,West,Mid J,71.49,0.44,13.74,0.5,1.87,0.02,0.86,1.92,4.24,3.19,0.14,1.34,99.75,,,,,,,,,,,,,,56.7,623,9.53,149,5.62,,661,22.3,44.9,5.69,20.2,3.8,0.93,2.73,0.37,1.83,0.35,0.93,0.14,0.89,0.14,4.46,0.45,,5.66,2.29,138.7,,,,,,,,,,,,0.134705882,0.034285714,0.068387097,0.03393617,0.032220833,2.3199,0.0215,40.02171721,1.329153605,1.910447761,,,#DIV/0!,12.48888889,94.093 ,73.366 ,59.895 ,43.255 ,24.837 ,16.034 ,13.285 ,9.893 ,7.205 ,6.184 ,5.619 ,5.490 ,5.235 ,5.512 
HSG02,West,Mid J,68.6,0.48,15.14,3.34,,0.05,1.14,3.03,4.11,3.48,0.13,0.52,100.02,,,5.16,3202,53.86,,,,,,,17.21,,143.4,406.6,13.19,117.8,8.6,,442.2,15.8,29.78,3.69,13.51,2.73,0.68,2.48,0.36,2.02,0.38,1.18,0.19,1.27,0.19,2.71,0.84,9.41,10.51,5.07,137.6,0.996,0.706894,,0.70494,0.1281,0.512633,,921,1.1,,,0.148431373,0.054107143,0.066290323,0.037021277,0.041740722,3.005332,0.0285,40.57475364,1.181034483,1.952542373,,,3.164718385,10.23809524,66.667 ,48.660 ,38.842 ,28.929 ,17.843 ,11.724 ,12.068 ,9.626 ,7.953 ,6.714 ,7.130 ,7.451 ,7.471 ,7.480 
HSG03,West,Mid J,70.77,0.43,14.18,3.13,,0.06,1.11,2.62,3.57,3.3,0.12,0.43,99.72,,,5.33,3086,51.88,,,,,,,16.62,,143.1,374.8,14.18,120.8,8.72,,434.6,21.14,39.02,4.64,16.28,3.08,0.65,2.7,0.38,2.16,0.41,1.27,0.2,1.38,0.21,2.8,0.84,9.5,14.16,4.86,137.6,1.078,0.707063,,0.70495,0.1199,0.512609,,879,0.8,,,0.139019608,0.046785714,0.057580645,0.035106383,0.039116306,2.816374,0.02775,41.50072263,1.081818182,1.953488372,,,4.107368421,10.38095238,89.198 ,63.758 ,48.842 ,34.861 ,20.131 ,11.207 ,13.139 ,10.160 ,8.504 ,7.244 ,7.674 ,7.843 ,8.118 ,8.268 
HSG41,West,Mid J,70.51,0.42,14.03,2.77,,0.04,0.97,2.36,3.98,3.69,0.11,0.83,99.72,,,5.05,2834,48.18,,,,,,,16.64,,153.3,391.6,14.39,135.8,9.65,,441.8,12.88,24.22,3,11.06,2.3,0.65,2.07,0.31,1.78,0.34,1.08,0.18,1.21,0.19,3.28,1.09,9.97,11.35,5.93,137.6,1.106,0.708776,,0.70661,0.132,0.512609,,1009,0.6,,,0.13754902,0.042142857,0.064193548,0.039255319,0.034617306,2.492446,0.02425,41.1943434,1.078590786,2.005434783,,,2.429287864,8.853211009,54.346 ,39.575 ,31.579 ,23.683 ,15.033 ,11.207 ,10.073 ,8.289 ,7.008 ,6.007 ,6.526 ,7.059 ,7.118 ,7.480 
HSG43,West,Mid J,70.65,0.37,14.48,2.52,,0.05,0.85,2.56,4.07,3.54,0.1,0.53,99.72,,,4.16,2360,38.8,,,,,,,16.72,,138.5,380.2,12.44,100.9,7.93,,428,17.06,31.58,3.78,13.31,2.6,0.65,2.29,0.33,1.87,0.35,1.1,0.18,1.23,0.18,2.38,0.72,10.33,11.59,4.23,137.6,1.029,0.70945,,0.70743,0.1237,0.512583,,960,0.2,,,0.141960784,0.045714286,0.065645161,0.037659574,0.031493,2.267496,0.02125,40.28970669,1.149717514,2.061904762,,,3.057115198,11.01388889,71.983 ,51.601 ,39.789 ,28.501 ,16.993 ,11.207 ,11.144 ,8.824 ,7.362 ,6.184 ,6.647 ,7.059 ,7.235 ,7.087 
HSG45,West,Mid J,72.57,0.33,13.46,2.36,,0.04,0.74,2.09,3.61,3.62,0.09,0.79,99.71,,,4.09,2218,36.94,,,,,,,16.05,,154.8,336.3,12.23,89,8.55,,411.1,15.6,28.07,3.31,11.54,2.34,0.59,2.11,0.31,1.8,0.35,1.07,0.18,1.19,0.18,2.28,0.89,11.22,11.53,5.06,137.6,1.3,0.707041,,0.70449,0.1287,0.512619,,952,0.8,,,0.131960784,0.037321429,0.058225806,0.038510638,0.029493444,2.123528,0.0185,38.54693118,0.997237569,2.069565217,,,2.501782531,9.606741573,65.823 ,45.866 ,34.842 ,24.711 ,15.294 ,10.172 ,10.268 ,8.289 ,7.087 ,6.184 ,6.465 ,7.059 ,7.000 ,7.087 
HSG47,West,Mid J,71.46,0.36,13.86,2.62,,0.04,0.86,2.4,3.85,3.39,0.1,0.76,99.71,,,4.41,2380,38.96,,,,,,,16.72,,139.8,364.8,13.23,89.2,8.51,,398.2,15.64,28.64,3.44,12.37,2.55,0.62,2.32,0.35,1.97,0.37,1.17,0.19,1.3,0.2,2.31,0.85,10.43,11.69,4.7,137.6,1.083,0.709454,,0.70733,0.1309,0.512593,,1026,0.3,,,0.135882353,0.042857143,0.062096774,0.03606383,0.032742722,2.357476,0.0215,39.63665377,1.135693215,2.078175896,,,2.745925216,10.01176471,65.992 ,46.797 ,36.211 ,26.488 ,16.667 ,10.690 ,11.290 ,9.358 ,7.756 ,6.537 ,7.069 ,7.451 ,7.647 ,7.874 
SDQ1411,West,Early K,65.05,0.53,15.44,4.23,,0.07,2.1,3.45,4.16,3.14,0.15,0.9,99.22,,,9.04,,84.3,51.1,,11.1,18.7,4.41,40.5,18.8,,86.7,651,12.8,149,8.33,1.33,764,25.8,50.6,5.6,20.9,3.73,0.93,2.89,0.4,2.27,0.42,1.19,0.17,1.12,0.18,3.94,0.73,16.2,11.3,4.12,124,,,,,,,,,,,,0.151372549,0.061607143,0.067096774,0.033404255,0.05286325,3.806154,0.0525,49.82762016,1.324840764,2.138643068,,,3.12345679,11.4109589,108.861 ,82.680 ,58.947 ,44.754 ,24.379 ,16.034 ,14.063 ,10.695 ,8.937 ,7.420 ,7.190 ,6.667 ,6.588 ,7.087 
SDP1401,West,Early K,62.45,0.67,16.62,4.91,,0.05,1.78,2.71,5.21,1.28,0.21,4.3,95.62,,,11.8,,108,49.6,,8.81,20.5,20.7,46.5,16.4,,37.4,891,12.8,157,5.73,4.64,277,26.2,48.1,5.7,22.1,4.2,1.16,3.09,0.45,2.38,0.47,1.28,0.18,1.17,0.18,3.85,0.35,13.4,6.16,1.42,121,0.1251,0.705053,,0.70484,0.1149,0.51262,,0.82,0.9,,,0.162941176,0.048392857,0.084032258,0.013617021,0.061361361,4.418018,0.0445,42.0361117,4.0703125,2.171428571,,,3.589552239,16.37142857,110.549 ,78.595 ,60.000 ,47.323 ,27.451 ,20.000 ,15.036 ,12.032 ,9.370 ,8.304 ,7.734 ,7.059 ,6.882 ,7.087 
SDP1402,West,Early K,63.66,0.63,15.11,5.26,,0.06,2.26,2.72,5.06,0.75,0.13,3.73,95.35,,,12,,111,66.6,,11.4,21.8,22.7,39.6,14.2,,21.1,792,10.3,137,4.82,3.69,265,30.8,48.8,5.56,20,3.23,0.86,2.41,0.33,1.88,0.38,1.05,0.16,1.02,0.17,3.42,0.3,22.7,4.76,1.2,121,0.0795,0.704936,,0.7048,0.0975,0.51263,,0.69,1.3,,,0.148137255,0.048571429,0.081612903,0.007978723,0.065735389,4.732948,0.0565,46.22229333,6.746666667,2.193717277,,,2.149779736,16.06666667,129.958 ,79.739 ,58.526 ,42.827 ,21.111 ,14.828 ,11.727 ,8.824 ,7.402 ,6.714 ,6.344 ,6.275 ,6.000 ,6.693 
SDP1404,West,Early K,56.38,0.65,17.23,5.22,,0.09,2.55,5.22,3.44,1.52,0.28,6.68,92.26,,,10.1,,94.2,37,,11.9,15.1,17.6,67.8,18.6,,47.6,631,13.3,166,6,9.35,758,24.6,48.8,5.86,22.7,4.25,1.14,3.28,0.46,2.52,0.47,1.35,0.18,1.17,0.16,3.97,0.34,12.8,5.22,1.23,121,0.2252,0.705194,,0.70481,0.1132,0.51264,,0.78,1.2,,,0.168921569,0.093214286,0.055483871,0.016170213,0.0652355,4.696956,0.06375,49.42416008,2.263157895,2.229591837,,,3.8125,17.64705882,103.797 ,79.739 ,61.684 ,48.608 ,27.778 ,19.655 ,15.961 ,12.299 ,9.921 ,8.304 ,8.157 ,7.059 ,6.882 ,6.299 
SDP1405,West,Early K,59.59,0.65,17.47,5.74,,0.15,2.37,5.06,4.16,2.19,0.25,1.68,97.28,,,10.8,,102,38.3,,14.8,17,22.6,77,20.7,,41.7,939,14.4,170,6.19,1.18,768,23.9,49.1,5.81,23,4.43,1.11,3.39,0.48,2.59,0.48,1.44,0.19,1.27,0.18,4.1,0.35,14.9,5.36,1.34,,,,,,,,,,,,,0.17127451,0.090357143,0.067096774,0.023297872,0.071734056,5.164852,0.05925,45.23451328,1.899543379,2.263157895,,,3.295302013,17.68571429,100.844 ,80.229 ,61.158 ,49.251 ,28.954 ,19.138 ,16.496 ,12.834 ,10.197 ,8.481 ,8.701 ,7.451 ,7.471 ,7.087 
SDP1414B,West,Early K,62.76,0.6,17.34,4.88,,0.07,1.05,2.78,4.83,3.25,0.26,1.51,97.57,,,7.67,,88.9,13.9,,7.48,9.13,7.11,85.1,21.6,,88.9,1031,15.8,201,8.16,1.64,998,33,59.6,6.99,26.8,4.95,1.21,3.61,0.48,2.73,0.5,1.43,0.21,1.33,0.21,4.96,0.54,18.9,10.4,2.11,123,0.257,0.705362,,0.70491,0.1118,0.51266,,0.73,1.8,,,0.17,0.049642857,0.077903226,0.034574468,0.060986444,4.391024,0.02625,30.0906349,1.486153846,2.625698324,,,3.153439153,15.11111111,139.241 ,97.386 ,73.579 ,57.388 ,32.353 ,20.862 ,17.567 ,12.834 ,10.748 ,8.834 ,8.640 ,8.235 ,7.824 ,8.268 
SDP1416,West,Early K,56.82,0.78,17.38,5.71,,0.14,2.55,6.79,3.86,1.24,0.24,3.86,95.16,,,14.5,,126,107,17.1,38.3,36.3,79.4,20,,,23.7,1047,14.1,150,5.42,1.33,606,22.9,47.4,5.64,22.7,4.23,1.26,3.52,0.45,2.62,0.51,1.34,0.19,1.34,0.21,3.7,0.33,15.8,5.7,1.5,,,,,,,,,,,,,0.170392157,0.12125,0.062258065,0.013191489,0.071359139,5.137858,0.06375,47.18407691,3.112903226,2.719745223,,,3,16.42424242,96.624 ,77.451 ,59.368 ,48.608 ,27.647 ,21.724 ,17.129 ,12.032 ,10.315 ,9.011 ,8.097 ,7.451 ,7.882 ,8.268 
