Sample,Region,Age,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,L.O.I,Total,P,K,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Age (Ma),87Rb/86Sr,87Sr/86Sr,2s,(87Sr/86Sr)i,147Sm/144Nd,143Nd/144Nd,2s,TDM(Ga),εNd(t),,,mAl2O3,mCaO,mNa2O,mK2O,mFeO,TFeO,mMgO,Mg#,Na2O/K2O,0.111111111,0.056847545,0.884353741,Ce/Pb,Nb/Ta,nLa,nCe,nPr,nNd,nSm,nEu,nGd,nTb,nDy,nHo,nEr,nTm,nYb,nLu
05TH17,West,Late J,56.6,1.08,16.4,7.29,,0.14,3.89,6.38,2.91,2.35,0.38,2.45,99.87,,,11.7,,148,29.9,,20.5,26.2,31.7,77.1,20.9,,58.6,987,15.7,204,8.48,1.93,927,35,70.4,8.93,33.1,6.35,1.61,4.87,0.65,3.19,0.58,1.5,0.21,1.3,0.19,5.26,0.49,17.8,4.84,1.53,129.7,0.166,0.706297,±14,0.70599,0.1107,0.512493,±12,,-1.4,,,0.160784314,0.113928571,0.046935484,0.025,0.09110475,6.559542,0.09725,51.6312968,1.238297872,1.052896725,,4.727272727,3.95505618,17.30612245,147.679 ,115.033 ,94.000 ,70.878 ,41.503 ,27.759 ,23.698 ,17.380 ,12.559 ,10.247 ,9.063 ,8.235 ,7.647 ,7.480 
M21P21,West,Late J,59.6,0.9,16.23,4.77,2.02,0.07,2.44,4.68,4.25,2.3,0.35,2.4,100.01,,19085,,5395,,,,,,,,,,62,1230,,185,8,4.3,840,45.1,82.1,9.98,45.8,7.03,1.73,4.6,0.61,3.82,0.77,0.17,0.28,1.68,0.26,5.1,,,11.4,3.55,Late Jura,,,,,,,,,,,,0.159117647,0.083571429,0.068548387,0.024468085,0.087667306,6.312046,0.061,41.0312138,1.847826087,1.06234414,,4.830188679,#DIV/0!,#DIV/0!,190.295 ,134.150 ,105.053 ,98.073 ,45.948 ,29.828 ,22.384 ,16.310 ,15.039 ,13.604 ,1.027 ,10.980 ,9.882 ,10.236 
N79006,West,Late J,67.26,0.47,16.62,1.39,1.78,0.11,0.78,2.39,4.05,4.84,0.2,0.76,100.65,,40179,,2817,,,,,,,,,,134,510,,290,14,8.8,1170,53.9,99.2,9.41,39.5,6.17,1.14,3.55,0.57,3.58,0.7,1.86,0.29,1.82,0.27,6.4,,,15.1,3.2,Late Jura,,,,,,,,,,,,0.162941176,0.042678571,0.065322581,0.051489362,0.042093361,3.030722,0.0195,31.65925621,0.83677686,1.063131313,,4.927835052,#DIV/0!,#DIV/0!,227.426 ,162.092 ,99.053 ,84.582 ,40.327 ,19.655 ,17.275 ,15.241 ,14.094 ,12.367 ,11.239 ,11.373 ,10.706 ,10.630 
N7P48,West,Late J,60.76,0.79,16.42,3.95,1.75,0.12,2.46,1.49,5.74,3.42,0.33,2.16,99.39,,28391,,4736,,,,,,,,,,89,580,,190,12,3.8,800,48.7,92.6,7.37,29.4,5.05,1.28,3.19,0.51,2.86,0.58,1.4,0.21,1.25,0.19,4.3,,,10.3,1.9,Late Jura,,,,,,,,,,,,0.160980392,0.026607143,0.092580645,0.036382979,0.073669583,5.30421,0.0615,45.4984017,1.678362573,1.067331671,,,#DIV/0!,#DIV/0!,205.485 ,151.307 ,77.579 ,62.955 ,33.007 ,22.069 ,15.523 ,13.636 ,11.260 ,10.247 ,8.459 ,8.235 ,7.353 ,7.480 
TC48,West,Late J,65.62,0.65,15.86,2.79,2.04,0.08,1.63,2.36,4,3.05,0.25,0.64,98.97,,25308,,3897,,,,,,,,,,110,620,,257,9.6,3.5,870,45.5,86.4,8.8,39.3,6.91,1.18,4.17,0.76,3.87,0.67,1.77,0.27,1.55,0.22,6.7,,,11,3.58,Late Jura,,,,,,,,,,,,0.155490196,0.042142857,0.064516129,0.032446809,0.063200583,4.550442,0.04075,39.20131922,1.31147541,1.078590786,,,#DIV/0!,#DIV/0!,191.983 ,141.176 ,92.632 ,84.154 ,45.163 ,20.345 ,20.292 ,20.321 ,15.236 ,11.837 ,10.695 ,10.588 ,9.118 ,8.661 
TC50,West,Late J,61.28,1,16.46,2.89,2.98,0.06,2.86,3.65,3.82,2.15,0.32,1.24,98.71,,17840,,5994,,,,,,,,,,78,740,,192,8.8,5.4,1080,31.7,65,7.29,34.8,5.68,1,3.23,0.52,2.04,0.39,0.82,0.12,0.75,0.1,5.2,,,8.4,4.07,Late Jura,,,,,,,,,,,,0.161372549,0.065178571,0.061612903,0.02287234,0.077505861,5.580422,0.0715,47.98468964,1.776744186,1.081818182,,,#DIV/0!,#DIV/0!,133.755 ,106.209 ,76.737 ,74.518 ,37.124 ,17.241 ,15.718 ,13.904 ,8.031 ,6.890 ,4.955 ,4.706 ,4.412 ,3.937 
TC25,West,Late J,63.18,1,16.2,4.26,0.94,0.13,1.08,3.71,5.05,2.85,0.43,1.74,100.57,,23649,,5994,,,,,,,,,,90,530,,210,10.2,3.7,1600,59.5,111,11,49,8.98,1.99,5.24,0.84,3.72,0.63,1.61,0.27,1.63,0.25,5.6,,,11.1,2.38,Late Jura,,,,,,,,,,,,0.158823529,0.06625,0.081451613,0.030319149,0.066293722,4.773148,0.027,28.94085406,1.771929825,1.084183673,,,#DIV/0!,#DIV/0!,251.055 ,181.373 ,115.789 ,104.925 ,58.693 ,34.310 ,25.499 ,22.460 ,14.646 ,11.131 ,9.728 ,10.588 ,9.588 ,9.843 
TC31,West,Late J,68.06,0.8,15.09,4.01,1.38,0.06,0.74,0.96,4.15,2.4,0.43,1.36,99.44,,19914,,4795,,,,,,,,,,73,680,,190,9.5,3.8,710,50.7,98.2,9.17,40,6.91,1.29,3.82,0.65,2.82,0.53,1.26,0.2,1.15,0.18,6.2,,,10.2,1.62,Late Jura,,,,,,,,,,,,0.147941176,0.017142857,0.066935484,0.025531915,0.069280528,4.988198,0.0185,21.0752891,1.729166667,1.088383838,,,#DIV/0!,#DIV/0!,213.924 ,160.458 ,96.526 ,85.653 ,45.163 ,22.241 ,18.589 ,17.380 ,11.102 ,9.364 ,7.613 ,7.843 ,6.765 ,7.087 
N79073,West,Late J,60.78,1,16.43,4.71,1.52,0.09,1.65,3.21,4.43,3.37,0.32,1.84,99.35,,27200,,5994,,,,,,,,,,97,1050,,160,11,4.7,940,49.4,78.6,9.55,35.5,6.19,1.29,3.98,0.74,3.09,0.57,1.41,0.22,1.37,0.2,3.4,,,98,2.5,Late Jura,,,,,,,,,,,,0.161078431,0.057321429,0.071451613,0.035851064,0.079973028,5.758058,0.04125,34.02818817,1.314540059,1.088383838,,,#DIV/0!,#DIV/0!,208.439 ,128.431 ,100.526 ,76.017 ,40.458 ,22.241 ,19.367 ,19.786 ,12.165 ,10.071 ,8.520 ,8.627 ,8.059 ,7.874 
N79075,West,Late J,65.16,0.8,16.71,2.18,2.12,0.16,1.03,2.37,4.48,3.94,0.3,1.22,100.47,,33100,,4700,,,,,,,,,,110,520,,220,15,3.3,1150,44.2,76.3,8.6,31.6,5.34,1.12,3.39,0.48,2.94,0.55,1.41,0.22,1.66,0.2,4.3,,,12.8,2.5,Late Jura,,,,,,,,,,,,0.163823529,0.042321429,0.072258065,0.041914894,0.056688389,4.081564,0.02575,31.23544789,1.137055838,1.115577889,,,#DIV/0!,#DIV/0!,186.498 ,124.673 ,90.526 ,67.666 ,34.902 ,19.310 ,16.496 ,12.834 ,11.575 ,9.717 ,8.520 ,8.627 ,9.765 ,7.874 
TC53,West,Late J,56.38,0.89,17.81,4.19,2.42,0.25,2.96,2.03,5.47,3.71,0.4,2.82,99.33,,30785,,5336,,,,,,,,,,104,520,,190,8.4,4.2,1140,39,72.8,7.73,37.8,5.88,1.51,3.57,0.58,3.36,0.69,1.58,0.22,1.35,0.21,5.3,,,5.3,0.98,Late Jura,,,,,,,,,,,,0.174607843,0.03625,0.088225806,0.039468085,0.085974472,6.190162,0.074,46.2573803,1.474393531,1.116666667,,,#DIV/0!,#DIV/0!,164.557 ,118.954 ,81.368 ,80.942 ,38.431 ,26.034 ,17.372 ,15.508 ,13.228 ,12.191 ,9.547 ,8.627 ,7.941 ,8.268 
TC70,West,Late J,62.16,0.76,18,0.65,3.18,0.13,2.61,4.3,3.74,2.34,0.25,1.74,99.86,,19417,,4556,,,,,,,,,,97,720,,180,9.4,9.9,740,40.8,74.9,7.2,34.5,6.05,1.45,4.47,0.72,4.03,0.84,2.3,0.32,1.72,0.21,5.9,,,10.4,3.26,Late Jura,,,,,,,,,,,,0.176470588,0.076785714,0.060322581,0.024893617,0.052289861,3.76487,0.06525,55.51308244,1.598290598,1.124352332,,,#DIV/0!,#DIV/0!,172.152 ,122.386 ,75.789 ,73.876 ,39.542 ,25.000 ,21.752 ,19.251 ,15.866 ,14.841 ,13.897 ,12.549 ,10.118 ,8.268 
TC76,West,Late J,57.8,0.78,17.45,3.78,2.11,0.1,3.12,2.78,5.76,2.95,0.29,2.42,99.34,,24479,,4676,,,,,,,,,,72,800,,126,7.5,3.3,1120,44.2,77,7.86,36.6,6.82,1.46,4.45,0.68,4.16,0.72,1.91,0.29,1.6,0.21,3.4,,,8.8,1.38,Late Jura,,,,,,,,,,,,0.171078431,0.049642857,0.092903226,0.031382979,0.076545056,5.511244,0.078,50.47071854,1.952542373,1.124472574,,,#DIV/0!,#DIV/0!,186.498 ,125.817 ,82.737 ,78.373 ,44.575 ,25.172 ,21.655 ,18.182 ,16.378 ,12.721 ,11.541 ,11.373 ,9.412 ,8.268 
N7259,West,Early K,70.12,0.4,13.89,2.74,0.94,0.04,1.2,1.38,2.88,4.9,0.1,1.54,100.13,,40677,,2500,,,,,,,,,,125,520,,164,14,3,500,35.8,67.1,6.75,26.5,4.19,0.71,2.61,0.44,2.54,0.48,1.24,0.2,1.2,0.19,6.1,,,13,2.4,Early K,,,,,,,,,,,,0.136176471,0.024642857,0.046451613,0.05212766,0.047297944,3.405452,0.03,38.81086388,0.587755102,1.125925926,,,#DIV/0!,#DIV/0!,151.055 ,109.641 ,71.053 ,56.745 ,27.386 ,12.241 ,12.701 ,11.765 ,10.000 ,8.481 ,7.492 ,7.843 ,7.059 ,7.480 
8,West,Early K,62.86,0.87,17.28,4.05,1.26,0.06,0.84,1.04,7.25,3.39,0.31,1.12,100.33,,,6.6,0.65,,11.2,,,10.4,,,,,74.3,640,12.4,250,16,,1160,46.3,95.2,8,36.4,6.2,1.1,4,0.6,3.7,0.6,1.7,0.2,1.6,0.2,5.7,1.4,,18,2.6,124,0.5412,0.70623,±40,,0.1026,0.512621,±9,,1.158,,,0.169411765,0.018571429,0.116935484,0.03606383,0.06811375,4.90419,0.021,23.56538694,2.138643068,1.134259259,,,#DIV/0!,11.42857143,195.359 ,155.556 ,84.211 ,77.944 ,40.523 ,18.966 ,19.465 ,16.043 ,14.567 ,10.601 ,10.272 ,7.843 ,9.412 ,7.874 
